Wall time,Step,Value
1670482525.2493067,4096,-1.096823811531067
1670482528.9624846,6144,-1.0853158235549927
1670482532.5768988,8192,-1.0585253238677979
1670482536.014552,10240,-1.052343726158142
1670482539.9014661,12288,-1.083436369895935
1670482543.7771227,14336,-1.0885412693023682
1670482547.781661,16384,-1.0812091827392578
1670482551.052792,18432,-1.0528812408447266
1670482555.0803633,20480,-1.0300272703170776
1670482558.8237445,22528,-1.0650397539138794
1670482562.337822,24576,-1.0793544054031372
1670482565.941893,26624,-1.0632638931274414
1670482570.1715245,28672,-1.067924976348877
1670482574.3005762,30720,-1.0797985792160034
1670482578.2848034,32768,-1.09194016456604
1670482582.3028762,34816,-1.076029896736145
1670482585.9794295,36864,-1.0255569219589233
1670482589.1391327,38912,-1.0391490459442139
1670482592.314244,40960,-1.0322564840316772
1670482595.5095925,43008,-1.0008506774902344
1670482598.6932185,45056,-1.0116710662841797
1670482601.8661919,47104,-1.0609556436538696
1670482605.0573654,49152,-1.0592306852340698
1670482608.2739568,51200,-1.0675956010818481
1670482611.466077,53248,-1.0806560516357422
1670482614.649904,55296,-1.0616858005523682
1670482617.8324108,57344,-0.9792541861534119
1670482620.9867198,59392,-0.9760748147964478
1670482624.1829376,61440,-0.9876818656921387
1670482627.3622482,63488,-1.02978515625
1670482630.5441453,65536,-1.0315313339233398
1670482633.723209,67584,-1.0538545846939087
1670482636.8998847,69632,-1.0397714376449585
1670482640.0592256,71680,-1.0514453649520874
1670482643.212712,73728,-0.9953579902648926
1670482646.3741534,75776,-0.9822052717208862
1670482649.5244818,77824,-0.9027366042137146
1670482652.6772265,79872,-0.8132645487785339
1670482655.837669,81920,-0.7142266035079956
1670482658.9996002,83968,-0.6416208148002625
1670482662.1810884,86016,-0.5767359137535095
1670482665.359621,88064,-0.5567464828491211
1670482668.5255299,90112,-0.5477070212364197
1670482671.6778564,92160,-0.5723794102668762
1670482674.838499,94208,-0.57879239320755
1670482677.9911072,96256,-0.4941283166408539
1670482681.1420646,98304,-0.49371272325515747
1670482684.302058,100352,-0.4362224340438843
1670482687.4591103,102400,-0.3957437574863434
1670482690.6096745,104448,-0.35855042934417725
1670482693.7624173,106496,-0.31941336393356323
1670482696.9141712,108544,-0.27326682209968567
1670482700.072929,110592,-0.23067684471607208
1670482703.2298772,112640,-0.22100640833377838
1670482706.4116611,114688,-0.18404419720172882
1670482709.5945516,116736,-0.1909206658601761
1670482712.7717097,118784,-0.1723017692565918
1670482715.9497228,120832,-0.13886849582195282
1670482719.1352344,122880,-0.12662307918071747
1670482722.308387,124928,-0.11752070486545563
1670482725.4838815,126976,-0.10092708468437195
1670482728.6671166,129024,-0.12020838260650635
1670482732.3069792,131072,-0.13016368448734283
1670482736.2524886,133120,-0.11986230313777924
1670482739.859091,135168,-0.1023094654083252
1670482743.5690074,137216,-0.08036547154188156
1670482746.9226353,139264,-0.06263118237257004
1670482750.1431072,141312,-0.06153726205229759
1670482753.3270028,143360,-0.06370484828948975
1670482756.482307,145408,-0.07732198387384415
1670482759.6709816,147456,-0.07105735689401627
1670482762.8795884,149504,-0.05606015771627426
1670482766.0721054,151552,-0.046323176473379135
1670482769.250999,153600,-0.0544251874089241
1670482772.4282384,155648,-0.07237226516008377
1670482775.6089046,157696,-0.09027211368083954
1670482778.7945416,159744,-0.2389431595802307
1670482781.967241,161792,-0.1969509869813919
1670482785.1687691,163840,-0.23989221453666687
1670482788.331835,165888,-0.20796820521354675
1670482791.4817736,167936,-0.2362644225358963
1670482794.6412299,169984,-0.22437994182109833
1670482797.8043463,172032,-0.15967439115047455
1670482800.9513278,174080,-0.1722276657819748
1670482804.1149225,176128,-0.23200522363185883
1670482807.2706208,178176,-0.18016038835048676
1670482810.4220183,180224,-0.18300320208072662
1670482813.5753076,182272,-0.13394922018051147
1670482816.7306728,184320,-0.11965283006429672
1670482819.8843737,186368,-0.17366541922092438
1670482823.068614,188416,-0.16325059533119202
1670482826.2272818,190464,-0.15572506189346313
1670482829.374291,192512,-0.2637398838996887
1670482832.5269938,194560,-0.17846281826496124
1670482835.70453,196608,-0.2259512096643448
1670482838.888319,198656,-0.20100662112236023
1670482842.0652988,200704,-0.21816691756248474
1670482845.242244,202752,-0.2569451332092285
1670482848.4212549,204800,-0.22604237496852875
1670482851.5981371,206848,-0.23787204921245575
1670482854.7825377,208896,-0.21394838392734528
1670482857.9467344,210944,-0.1890225112438202
1670482861.1009965,212992,-0.21556708216667175
1670482864.2724965,215040,-0.25276750326156616
1670482867.4340959,217088,-0.19973799586296082
1670482870.5859823,219136,-0.21173380315303802
1670482873.740013,221184,-0.1860118955373764
1670482876.8878078,223232,-0.1771986186504364
1670482880.06024,225280,-0.1602444052696228
1670482883.2411573,227328,-0.1546294093132019
1670482886.423936,229376,-0.14766116440296173
1670482889.600242,231424,-0.20176073908805847
1670482892.758653,233472,-0.21054866909980774
1670482895.941089,235520,-0.22115282714366913
1670482899.10992,237568,-0.2643511891365051
1670482902.255953,239616,-0.2450799196958542
1670482905.4080243,241664,-0.24905112385749817
1670482908.5582628,243712,-0.2151135802268982
1670482911.7083871,245760,-0.1431298851966858
1670482914.8614242,247808,-0.14904125034809113
1670482918.0150454,249856,-0.1111089214682579
1670482921.1647136,251904,-0.1010509803891182
1670482924.3200316,253952,-0.0701356753706932
1670482927.4951177,256000,-0.14229649305343628
1670482930.6766584,258048,-0.16930541396141052
1670482933.8335922,260096,-0.2536851167678833
1670482937.23159,262144,-0.2686033546924591
1670482941.136604,264192,-0.27744683623313904
1670482945.1840196,266240,-0.22462403774261475
